,index,population_density,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Asthma Prevalence (m/f) Age-standardized,PM2.5 air pollution,Daily smoking prevalence ,Prevalence of obesity (both sexes) - WHO (2019),CFR,anomaly
89,117,197.519,18.1,1.7830000000000001,1095.042,227.34900000000002,3.94,1.3,64.26,0.47700000000000004,4.157717918,28.25982321,9.6999998,5.8,0.0311220865329319,1
90,118,96.25399999999999,29.9,3.407,26808.164,260.942,16.74,1.9,76.16,0.802,4.6539321739999995,17.60771452,19.1,15.6,0.013295324281531433,1
91,120,15.196,16.4,1.486,2014.306,268.024,2.42,0.1,59.31,0.42700000000000005,3.015416367,92.21011675,10.3,8.6,0.04400339719313879,1
92,121,1454.037,42.4,11.324000000000002,36513.323,168.71099999999998,8.83,4.485,82.53,0.878,6.05016439,12.14084395,22.1,28.9,0.006475428417382992,1
93,123,622.962,37.4,5.8839999999999995,20292.745,224.644,22.02,3.4,74.99,0.79,5.863153727,14.46305346,18.299999,10.8,0.028089666875055815,1
94,124,66.444,29.3,4.321000000000001,17336.468999999997,152.783,13.06,1.38,75.05,0.774,3.57819758,18.82910389,9.8999996,28.9,0.10676394735443027,1
95,125,123.655,37.6,6.955,5189.972,408.50199999999995,5.72,5.8,71.9,0.7,3.397332982,19.94321337,20.9,18.9,0.02652023012469941,1
96,127,1.98,28.6,2.421,11840.846000000001,460.043,4.82,7.0,69.87,0.741,3.7128071310000004,29.68500129,25.4,20.6,0.0,1
97,128,46.28,39.1,9.395,16409.288,387.305,10.08,3.861,76.88,0.8140000000000001,3.75864771,20.35568996,26.5,23.3,0.01832210940816107,1
98,130,80.08,29.6,4.209,7485.013000000001,419.14599999999996,7.14,1.1,76.68,0.667,4.36368726,25.41198462,13.5,26.1,0.018691965023189698,1
99,131,37.728,17.7,1.87,1136.103,329.94199999999995,3.3,0.7,60.85,0.43700000000000006,4.211616704,20.98722687,11.0,7.2,0.006416683376779627,1
100,132,81.721,29.1,3.12,5591.597,202.104,4.61,0.9,67.13,0.578,4.870429907,48.81135881,17.5,5.8,0.006173580917149103,1
101,134,204.43,25.0,3.2119999999999997,2442.804,260.797,7.26,0.3,70.78,0.574,3.7892259339999996,78.49713349,23.799999,4.1,0.006281747942554338,1
102,135,508.54400000000004,43.2,11.880999999999998,48472.545,109.361,5.29,3.32,82.28,0.9309999999999999,7.235018204,15.23005009,20.799999,20.4,0.07955336347085709,1
103,137,18.206,37.9,9.72,36085.843,128.797,8.08,2.61,82.29,0.917,8.032775186,5.525446595,16.799999,30.8,0.016643703683886676,1
104,138,51.667,27.3,3.5189999999999997,5321.444,137.016,11.47,0.9,74.48,0.6579999999999999,4.109898597,22.70884868,10.9,23.7,0.029887500790601873,1
106,142,14.462,39.7,10.812999999999999,64800.057,114.316,5.31,3.6,82.4,0.953,8.16748983,7.874067599,16.9,23.1,0.022560971669785133,1
107,143,14.98,30.7,1.53,37960.709,266.342,12.61,1.6,77.86,0.821,4.810226293,77.9621781,9.1000004,27.0,0.008626056369334275,1
108,144,255.57299999999998,23.5,2.78,5034.708,423.031,8.35,0.6,67.27,0.562,3.9100650999999997,75.75074243,15.4,8.6,0.02120742134729414,1
109,146,55.133,29.7,5.03,22267.037,128.346,8.33,2.3,78.51,0.789,5.3395817260000005,14.12599776,8.3999996,22.7,0.02133078669061861,1
110,148,17.144000000000002,26.5,3.833,8827.01,199.128,8.27,1.3,74.25,0.7020000000000001,6.216240472000001,23.69305414,11.7,20.3,0.01892230939108444,1
111,149,25.129,29.1,4.455,12236.706,85.755,5.95,1.6,76.74,0.75,5.208823594,26.0545956,11.0,19.7,0.04273398108384019,1
112,150,351.87300000000005,25.2,2.661,7599.188,370.43699999999995,7.07,1.0,71.23,0.6990000000000001,6.304641536,23.213494100000002,22.9,6.4,0.016332820672187675,1
113,151,124.027,41.8,10.202,27216.445,227.331,5.91,6.62,78.73,0.865,4.78156327,25.59991261,27.200001,23.1,0.029798588163515615,1
114,152,112.37100000000001,46.2,14.924000000000001,27936.896,127.84200000000001,9.85,3.39,82.05,0.847,8.709025293,9.491198111000001,21.6,20.8,0.02981034347210316,1
116,155,85.12899999999999,43.0,11.69,23313.199,370.94599999999997,9.74,6.892,76.05,0.8109999999999999,4.451984728,19.06441498,26.4,22.5,0.04077885560833741,1
117,156,8.823,39.6,9.392999999999999,24765.953999999998,431.29699999999997,6.18,8.05,72.58,0.816,2.981719805,15.5005356,31.9,23.1,0.017453641401830956,1
118,159,293.187,34.9,6.405,12951.839,204.62,11.62,1.3,76.2,0.747,7.6290210929999995,17.3478258,10.3,19.7,0.0,1
119,160,281.78700000000003,31.8,4.832,10727.146,252.675,11.62,2.6,72.53,0.723,7.45137561,17.37431954,9.0,23.7,0.0,1
120,162,212.84099999999998,18.7,2.162,3052.7140000000004,270.113,2.42,2.9,70.39,0.589,3.649268181,15.42765659,3.3,12.4,0.01664820865683499,1
